EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0.001,0.399*exp(-theta**2/2),4979074,5,5,12.4,8.4,3,3,5,1.0,5.516756530607597e-12,inf,0.9999999988664112,0.9999999988784996,0.6
1,PhySO,Feynman,feynman_I_6_2,1,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,4886449,5,4,17.6,16.4,0,0,0,0.0,0.0001667763513438346,inf,0.9086136594701048,0.9084992695994888,0.0
2,PhySO,Feynman,feynman_I_6_2b,2,0.001,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,4834183,5,4,18.6,18.0,0,0,0,0.0,0.0011029151554642438,inf,0.6996936316137351,0.7025057935424821,0.0
3,PhySO,Feynman,feynman_I_8_14,3,0.001,((x1 - x2)**2 + (y1 - y2)**2)**0.5,4965001,5,5,21.2,21.2,False,False,False,0.0,inf,inf,0.0,0.0,0.0
4,PhySO,Feynman,feynman_I_9_18,4,0.001,G*m1*m2/((x1 - x2)**2 + (y1 - y2)**2 + (z1 - z2)**2),4956344,5,5,19.0,18.2,0,0,0,0.0,0.0012565233789151922,inf,0.9173317681370693,0.9174970486322414,0.0
5,PhySO,Feynman,feynman_I_10_7,5,0.001,m_0/(1 - v**2/c**2)**0.5,4958164,5,5,16.2,14.0,4,4,4,0.8,1.012492178386313e-09,inf,0.9999999993121915,0.9999999993157147,0.8
6,PhySO,Feynman,feynman_I_11_19,6,0.001,x1*y1 + x2*y2 + x3*y3,4975541,5,5,15.6,10.0,5,5,5,1.0,3.2655793245024925e-07,inf,0.9999999957136072,0.9999999957920622,1.0
7,PhySO,Feynman,feynman_I_12_1,7,0.001,Nn*mu,4959598,5,5,16.8,3.0,5,5,5,1.0,4.1995472245481135e-07,inf,0.9999999837105841,0.9999999147265223,1.0
8,PhySO,Feynman,feynman_I_12_2,8,0.001,0.08*q1*q2/(epsilon*r**2),4955890,5,5,15.6,10.0,5,5,5,1.0,2.8215635692415813e-12,inf,0.9999999996315002,0.999999999628551,1.0
9,PhySO,Feynman,feynman_I_12_4,9,0.001,0.08*q1/(epsilon*r**2),4954883,5,5,9.0,9.0,5,5,5,1.0,7.850368611552675e-15,inf,0.9999999999892458,0.9999999999892121,1.0
10,PhySO,Feynman,feynman_I_12_5,10,0.001,Ef*q2,4956183,5,5,4.0,3.2,5,5,5,1.0,2.0038537674660033e-06,inf,0.9999999223306613,0.9999999225631211,1.0
11,PhySO,Feynman,feynman_I_12_11,11,0.001,q*(B*v*sin(theta) + Ef),4957310,5,5,14.0,9.0,5,5,5,1.0,7.732491883514784e-08,inf,0.999999999885265,0.9999999998847551,1.0
12,PhySO,Feynman,feynman_I_13_4,12,0.001,0.5*m*(u**2 + v**2 + w**2),4969279,5,5,18.6,13.0,5,5,5,1.0,4.650264500631483e-07,inf,0.9999999993325783,0.9999999993265359,1.0
13,PhySO,Feynman,feynman_I_13_12,13,0.001,G*m1*m2*(r1 - r2)/(r1*r2),4964178,5,5,22.4,15.2,5,5,5,1.0,2.4837140396496772e-08,inf,0.9999999997055051,0.9999999997030896,1.0
14,PhySO,Feynman,feynman_I_14_3,14,0.001,g*m*z,4956619,5,5,5.0,4.2,5,5,5,1.0,1.364658660421843e-09,inf,0.99999999999638,0.9999999999964012,1.0
15,PhySO,Feynman,feynman_I_14_4,15,0.001,0.5*k_spring*x**2,4953892,5,5,7.0,6.4,3,3,5,1.0,5.610714685889904e-09,inf,0.9999999999655615,0.9999999999657057,0.6
16,PhySO,Feynman,feynman_I_15_3x,16,0.001,c**1.0*(-t*u + x)/(c**2 - u**2)**0.5,4962448,5,5,16.2,16.0,0,0,0,0.0,0.009142876766870337,inf,0.9964238443298775,0.9963157886478521,0.0
17,PhySO,Feynman,feynman_I_15_3t,17,0.001,(t - u*x/c**2)/(1 - u**2/c**2)**0.5,4961003,5,5,15.0,15.4,0,0,0,0.0,0.0022208168459324413,inf,0.9984903911050523,0.9984774785592189,0.0
18,PhySO,Feynman,feynman_I_15_1,18,0.001,m_0*v/(1 - v**2/c**2)**0.5,4957284,5,5,18.0,17.4,0,0,1,0.2,1.6818695397472566e-07,inf,0.9999999648256732,0.9999999622474505,0.8
19,PhySO,Feynman,feynman_I_16_6,19,0.001,(u + v)/(1 + u*v/c**2),4962981,5,5,18.4,17.4,0,0,0,0.0,0.01918402212093492,inf,0.9850496957989799,0.9852117420106585,0.0
20,PhySO,Feynman,feynman_I_18_4,20,0.001,(m1*r1 + m2*r2)/(m1 + m2),4964723,5,5,17.0,16.2,0,0,0,0.0,0.052186719251876165,inf,0.926906972025034,0.926617703971066,0.0
21,PhySO,Feynman,feynman_I_18_12,21,0.001,F*r*sin(theta),4966016,5,5,13.4,5.6,5,5,5,1.0,4.863050568432558e-08,inf,0.9999999991003399,0.9999999991218657,1.0
22,PhySO,Feynman,feynman_I_18_14,22,0.001,m*r*v*sin(theta),4964531,5,5,11.4,6.6,5,5,5,1.0,1.0741190606826219e-07,inf,0.9999999998361015,0.9999999998359403,1.0
23,PhySO,Feynman,feynman_I_24_6,23,0.001,0.25*m*x**2*(omega**2 + omega_0**2),4955859,5,5,16.8,13.0,5,5,5,1.0,4.0577971325878604e-08,inf,0.9999999998071801,0.999999999804221,1.0
24,PhySO,Feynman,feynman_I_25_13,24,0.001,q/C,4956889,5,5,7.0,6.0,4,4,5,1.0,1.748589350905027e-12,inf,0.9999999999971202,0.9999999999971181,0.8
26,PhySO,Feynman,feynman_I_27_6,26,0.001,d1*d2/(d1*n + d2),4967091,5,5,23.2,10.0,5,5,5,1.0,2.3328843365360906e-10,inf,0.9999999981966495,0.9999999981642415,1.0
27,PhySO,Feynman,feynman_I_29_4,27,0.001,omega/c,4953014,5,5,6.0,5.0,5,5,5,1.0,7.565993049265203e-08,inf,0.9999999564945592,0.9999999563960008,1.0
28,PhySO,Feynman,feynman_I_29_16,28,0.001,1.41*(0.5*x1**2 - x1*x2*cos(theta1 - theta2) + 0.5*x2**2)**0.5,4957236,5,5,15.8,15.4,0,0,0,0.0,inf,inf,0.0,0.0,0.0
29,PhySO,Feynman,feynman_I_30_3,29,0.001,2*Int_0*sin(n*theta/2)**2/(1 - cos(theta)),4956739,5,5,14.8,14.0,0,0,0,0.0,2.432432996368503,inf,0.6373204487071402,0.6390678726315884,0.0
31,PhySO,Feynman,feynman_I_32_5,31,0.001,0.053*a**2*q**2/(c**3*epsilon),245,5,0,14.2,14.2,4,4,5,1.0,1.1287061920675203e-10,inf,0.9999999998105327,0.9999999998109909,0.8
32,PhySO,Feynman,feynman_I_32_17,32,0.001,4.19*Ef**2*c*epsilon*omega**4*r**2/(omega**2 - omega_0**2)**2,4954760,5,5,17.2,17.4,0,0,0,0.0,1.338070610810803,inf,0.9394706110201613,0.9392259158042618,0.2
33,PhySO,Feynman,feynman_I_34_8,33,0.001,B*q*v/p,4953136,5,5,8.0,7.0,5,5,5,1.0,9.154371674891314e-22,inf,1.0,1.0,1.0
34,PhySO,Feynman,feynman_I_34_1,34,0.001,c*omega_0/(c - v),4964567,5,5,17.2,11.0,3,3,5,1.0,1.0045508268536256e-08,inf,0.9999999968636698,0.999999996872128,0.6
35,PhySO,Feynman,feynman_I_34_14,35,0.001,omega_0*(c + v)/(c**2 - v**2)**0.5,4961253,5,5,18.4,17.8,0,0,0,0.0,inf,inf,0.0,0.0,0.4
36,PhySO,Feynman,feynman_I_34_27,36,0.001,0.159*h*omega,4954457,5,5,4.0,4.0,5,5,5,1.0,7.527732094938784e-10,inf,0.999999998837456,0.9999999988394428,1.0
37,PhySO,Feynman,feynman_I_37_4,37,0.001,2*I1**0.5*I2**0.5*cos(delta) + I1 + I2,4959544,5,5,18.4,18.4,0,0,0,0.0,0.031441100308975276,inf,0.9961947586639773,0.9962084166210464,0.2
38,PhySO,Feynman,feynman_I_38_12,38,0.001,0.318*epsilon*h**2/(m*q**2),4953876,5,5,12.0,12.0,5,5,5,1.0,3.359188534653816e-10,inf,0.9999999998339082,0.9999999998337632,1.0
39,PhySO,Feynman,feynman_I_39_1,39,0.001,1.5*V*pr,4958184,5,5,6.2,5.0,4,4,5,1.0,2.637605187331992e-07,inf,0.9999999954520936,0.9999999954351055,0.8
40,PhySO,Feynman,feynman_I_39_11,40,0.001,V*pr/(gamma - 1),4668480,5,4,12.8,8.2,4,4,5,1.0,7.449470473440095e-09,inf,0.9999999991983796,0.9999999992017288,0.8
41,PhySO,Feynman,feynman_I_39_22,41,0.001,T*kb*n/V,4954257,5,5,13.2,7.0,5,5,5,1.0,2.1082734289557342e-08,inf,0.9999999998010924,0.9999999997979074,1.0
42,PhySO,Feynman,feynman_I_40_1,42,0.001,n_0*exp(-g*m*x/(T*kb)),4962763,5,5,7.0,6.4,False,False,False,0.0,3.164596867458457,inf,0.0,0.0,0.0
43,PhySO,Feynman,feynman_I_41_16,43,0.001,0.016*h*omega**3/(c**2*(exp(0.159*h*omega/(T*kb)) - 1)),4952502,5,5,10.0,10.0,0,0,0,0.0,0.043237375893116686,inf,0.9952361235076953,0.995355101431236,0.0
44,PhySO,Feynman,feynman_I_43_16,44,0.001,Volt*mu_drift*q/d,4951772,5,5,8.0,7.0,5,5,5,1.0,4.238345502368764e-11,inf,0.999999999999588,0.9999999999995857,1.0
45,PhySO,Feynman,feynman_I_43_31,45,0.001,T*kb*mob,4953246,5,5,5.0,4.0,5,5,5,1.0,3.428899514761403e-10,inf,0.9999999999990842,0.9999999999990888,1.0
46,PhySO,Feynman,feynman_I_43_43,46,0.001,kb*v/(A*(gamma - 1)),4791529,5,4,20.8,11.0,5,5,5,1.0,3.0104602410761557e-10,inf,0.9999999998803074,0.9999999998811636,1.0
47,PhySO,Feynman,feynman_I_44_4,47,0.001,log((V2/V1)**(T*kb*n)),4967481,5,5,17.4,11.0,5,5,5,1.0,6.910709909085216e-08,inf,0.9999999998295095,0.999999999829221,1.0
48,PhySO,Feynman,feynman_I_47_23,48,0.001,gamma**0.5*pr**0.5/rho**0.5,4956539,5,5,22.0,11.2,1,1,5,1.0,inf,inf,0.0,0.0,0.4
49,PhySO,Feynman,feynman_I_48_2,49,0.001,c**3.0*m/(c**2 - v**2)**0.5,4955216,5,5,18.0,17.4,0,0,0,0.0,0.002028992945545813,inf,0.9999998026997411,0.9999998039313573,0.8
50,PhySO,Feynman,feynman_I_50_26,50,0.001,x1*(alpha*cos(omega*t) + 1)*cos(omega*t),4965254,5,5,15.2,14.8,1,1,1,0.2,0.17284577762473186,inf,0.9553927033924658,0.9551171458616153,0.2
51,PhySO,Feynman,feynman_II_2_42,51,0.001,A*kappa*(-T1 + T2)/d,4961354,5,5,20.0,11.6,5,5,5,1.0,2.6244185320205314e-08,inf,0.9999999995312089,0.9999999995392097,1.0
52,PhySO,Feynman,feynman_II_3_24,52,0.001,0.08*Pwr/r**2,4953453,5,5,6.0,6.0,5,5,5,1.0,6.855526854719886e-14,inf,0.9999999999780759,0.999999999978171,1.0
53,PhySO,Feynman,feynman_II_4_23,53,0.001,0.08*q/(epsilon*r),4785311,5,4,9.0,9.0,5,5,5,1.0,4.51036346474576e-14,inf,0.9999999999600737,0.9999999999595767,1.0
54,PhySO,Feynman,feynman_II_6_11,54,0.001,0.08*p_d*cos(theta)/(epsilon*r**2),4865129,5,3,13.4,11.0,5,5,5,1.0,5.4345309327330886e-14,inf,0.9999999998691226,0.9999999998690399,1.0
55,PhySO,Feynman,feynman_II_6_15a,55,0.001,0.239*p_d*z*(x**2 + y**2)**0.5/(epsilon*r**5),4956452,5,5,13.4,13.4,0,0,0,0.0,0.004022322905764154,inf,0.9717249756490786,0.9706702651882209,0.4
56,PhySO,Feynman,feynman_II_6_15b,56,0.001,0.12*p_d*sin(2*theta)/(epsilon*r**3),4964801,5,5,14.2,13.0,5,5,5,1.0,7.885480153730206e-14,inf,0.9999999999076864,0.9999999999137533,1.0
57,PhySO,Feynman,feynman_II_8_7,57,0.001,0.048*q**2/(d*epsilon),4627900,5,4,11.0,11.0,5,5,5,1.0,3.2813227138351192e-15,inf,0.9999999999995827,0.9999999999995852,1.0
58,PhySO,Feynman,feynman_II_8_31,58,0.001,0.5*Ef**2*epsilon,4953901,5,5,6.0,6.0,5,5,5,1.0,5.546228337725835e-09,inf,0.9999999999660577,0.9999999999660457,1.0
59,PhySO,Feynman,feynman_II_10_9,59,0.001,sigma_den/(epsilon*(chi + 1)),4968198,5,5,18.8,10.0,5,5,5,1.0,8.806787368169605e-11,inf,0.9999999985089107,0.9999999984940168,1.0
60,PhySO,Feynman,feynman_II_11_3,60,0.001,-Ef*q/(m*(omega**2 - omega_0**2)),4955166,5,5,20.4,19.2,0,0,0,0.0,2.2266903588102715e-07,inf,0.9999853898193013,0.9999854401117145,0.8
62,PhySO,Feynman,feynman_II_11_20,62,0.001,0.333*Ef*n_rho*p_d**2/(T*kb),4732011,5,3,14.0,13.0,5,5,5,1.0,3.38331393251588e-09,inf,0.9999999999320617,0.9999999999314716,1.0
63,PhySO,Feynman,feynman_II_11_27,63,0.001,-Ef*alpha*epsilon*n/(0.333*alpha*n - 1),4967912,5,5,11.0,11.0,0,0,0,0.0,1.4664681142891331e-05,inf,0.9999697758127067,0.9999696837346924,1.0
64,PhySO,Feynman,feynman_II_11_28,64,0.001,-alpha*n/(0.333*alpha*n - 1) + 1,4988196,5,5,12.6,12.4,0,0,0,0.0,7.826271650463474e-07,inf,0.9999907997483296,0.9999906996843388,1.0
65,PhySO,Feynman,feynman_II_13_17,65,0.001,0.159*I/(c**2*epsilon*r),4952683,5,5,12.8,12.0,5,5,5,1.0,2.2915688542418826e-13,inf,0.9999999996300576,0.9999999996333238,1.0
66,PhySO,Feynman,feynman_II_13_23,66,0.001,rho_c_0/(1 - v**2/c**2)**0.5,4593976,5,4,15.2,14.0,5,5,5,1.0,7.1552922916476e-10,inf,0.9999999995147736,0.9999999995149759,1.0
67,PhySO,Feynman,feynman_II_13_34,67,0.001,rho_c_0*v/(1 - v**2/c**2)**0.5,4954921,5,5,16.2,14.4,2,2,2,0.4,4.154395343503446e-09,inf,0.999999999067876,0.9999999990715324,0.6
68,PhySO,Feynman,feynman_II_15_4,68,0.001,-B*mom*cos(theta),4968064,5,5,12.6,6.6,5,5,5,1.0,2.214549212489189e-08,inf,0.999999999186097,0.9999999991832033,1.0
69,PhySO,Feynman,feynman_II_15_5,69,0.001,-Ef*p_d*cos(theta),4971307,5,5,10.0,6.2,5,5,5,1.0,1.4583689263682032e-08,inf,0.9999999994634896,0.9999999994627836,1.0
70,PhySO,Feynman,feynman_II_21_32,70,0.001,0.08*c*q/(epsilon*r*(c - v)),4951524,5,5,16.4,16.0,0,0,0,0.0,0.00016348878132413017,inf,0.9272248581364637,0.9297277009164246,0.2
71,PhySO,Feynman,feynman_II_24_17,71,0.001,3.14*(-1/d**2 + 0.101*omega**2/c**2)**0.5,4966358,5,5,17.6,17.6,4,4,4,0.8,1.2512722126395483e-09,inf,0.9999999982839198,0.9999999982897088,0.8
72,PhySO,Feynman,feynman_II_27_16,72,0.001,Ef**2*c*epsilon,4954591,5,5,7.2,6.4,4,4,5,1.0,3.0120129899877435e-06,inf,0.9999999996270852,0.9999999996283245,0.8
73,PhySO,Feynman,feynman_II_27_18,73,0.001,Ef**2*epsilon,4953270,5,5,6.0,5.0,5,5,5,1.0,1.1351902518267273e-06,inf,0.9999999982705349,0.9999999982651993,1.0
74,PhySO,Feynman,feynman_II_34_2a,74,0.001,0.159*q*v/r,4949063,5,4,7.0,7.0,5,5,5,1.0,4.135168432812045e-12,inf,0.999999999980007,0.9999999999798683,1.0
75,PhySO,Feynman,feynman_II_34_2,75,0.001,0.5*q*r*v,4954124,5,5,5.0,5.0,5,5,5,1.0,4.321626660386868e-08,inf,0.999999999540565,0.9999999995410344,1.0
76,PhySO,Feynman,feynman_II_34_11,76,0.001,0.5*B*g_*q/m,4954123,5,5,16.6,8.0,5,5,5,1.0,2.6619764503063055e-08,inf,0.999999998952695,0.9999999989518153,1.0
77,PhySO,Feynman,feynman_II_34_29a,77,0.001,0.08*h*q/m,3543736,5,3,7.0,7.0,5,5,5,1.0,2.1386808633889255e-12,inf,0.9999999999591683,0.999999999959245,1.0
78,PhySO,Feynman,feynman_II_34_29b,78,0.001,6.28*B*Jz*g_*mom/h,4963546,5,5,13.6,9.0,5,5,5,1.0,3.847501855094347e-06,inf,0.9999999999187642,0.9999999999192131,1.0
79,PhySO,Feynman,feynman_II_35_18,79,0.001,n_0/(2*cosh(B*mom/(T*kb))),4973259,5,5,20.2,19.8,0,0,0,0.0,0.022508355032858432,inf,0.7775733446968545,0.7772242603433368,0.2
80,PhySO,Feynman,feynman_II_35_21,80,0.001,mom*n_rho*tanh(B*mom/(T*kb)),4954464,5,5,14.2,13.6,0,0,0,0.0,0.8617294616996497,inf,0.9657199936363776,0.9653848376965387,0.0
81,PhySO,Feynman,feynman_II_36_38,81,0.001,mom*(H*c**2*epsilon + M*alpha)/(T*c**2*epsilon*kb),4960729,5,5,18.4,18.4,0,0,0,0.0,0.22749757566894954,inf,0.8218416749542675,0.8179456287131337,0.0
82,PhySO,Feynman,feynman_II_37_1,82,0.001,B*mom*(chi + 1),4958928,5,5,15.8,6.0,5,5,5,1.0,1.2360412757231866e-06,inf,0.9999999977552022,0.9999999977771097,1.0
83,PhySO,Feynman,feynman_II_38_3,83,0.001,A*Y*x/d,4959058,5,5,16.8,7.0,5,5,5,1.0,4.833199112256913e-08,inf,0.999999999536764,0.9999999995294169,1.0
84,PhySO,Feynman,feynman_II_38_14,84,0.001,Y/(2*(sigma + 1)),4963787,5,5,16.2,8.2,5,5,5,1.0,6.373668370350058e-11,inf,0.9999999986051747,0.9999999985906163,1.0
85,PhySO,Feynman,feynman_III_4_32,85,0.001,1/(exp(0.159*h*omega/(T*kb)) - 1),4961784,5,5,13.2,13.2,2,2,2,0.4,0.0002583310690801303,inf,0.9999970095998539,0.9999970059419668,1.0
86,PhySO,Feynman,feynman_III_4_33,86,0.001,0.159*h*omega/(exp(0.159*h*omega/(T*kb)) - 1),4964070,5,5,20.0,20.2,0,0,0,0.0,1.1264870650629594e-05,inf,0.9999995322701498,0.9999995677824347,1.0
87,PhySO,Feynman,feynman_III_7_38,87,0.001,12.6*B*mom/h,4954100,5,5,7.0,7.0,5,5,5,1.0,4.6294221904542446e-07,inf,0.9999999996408311,0.9999999996435686,1.0
88,PhySO,Feynman,feynman_III_8_54,88,0.001,sin(6.28*E_n*t/h)**2,4978161,5,5,13.2,10.8,5,5,5,1.0,1.0688847628428934e-10,inf,0.9999999991485186,0.9999999991426181,1.0
89,PhySO,Feynman,feynman_III_9_52,89,0.001,25.1*Ef*p_d*sin(t*(omega - omega_0)/2)**2/(h*t*(omega - omega_0)**2),4652691,5,4,23.8,16.6,0,0,0,0.0,124.06283435424047,inf,0.40745593105700395,0.41036102605143243,0.0
90,PhySO,Feynman,feynman_III_10_19,90,0.001,mom*(Bx**2 + By**2 + Bz**2)**0.5,4968597,5,5,12.2,12.0,0,0,0,0.0,0.46053311956553145,inf,0.9912938648513941,0.9913271127054989,0.0
91,PhySO,Feynman,feynman_III_12_43,91,0.001,0.159*h*n,4962151,5,5,15.6,4.0,5,5,5,1.0,3.4865307645909935e-09,inf,0.9999999849679494,0.9999999937775047,1.0
92,PhySO,Feynman,feynman_III_13_18,92,0.001,12.6*E_n*d**2*k/h,4956152,5,5,15.4,10.4,5,5,5,1.0,5.979251051232623e-05,inf,0.9999999998015809,0.9999999998031633,1.0
93,PhySO,Feynman,feynman_III_14_14,93,0.001,I_0*(exp(Volt*q/(T*kb)) - 1),4955190,5,5,20.4,11.8,4,4,5,1.0,2.173408720880958e-08,inf,0.9999999994767033,0.9999999995608361,1.0
94,PhySO,Feynman,feynman_III_15_12,94,0.001,2*U*(1 - cos(d*k)),4970996,5,5,13.8,11.0,5,5,5,1.0,2.7187309127915977e-08,inf,0.9999999989714992,0.999999998974977,1.0
95,PhySO,Feynman,feynman_III_15_14,95,0.001,0.013*h**2/(E_n*d**2),4952561,5,5,11.0,11.0,5,5,5,1.0,6.362691394502152e-15,inf,0.9999999999792564,0.9999999999792197,1.0
96,PhySO,Feynman,feynman_III_15_27,96,0.001,6.28*alpha/(d*n),4972159,5,5,16.8,9.0,4,4,5,1.0,3.748093623482234e-09,inf,0.9999999994615106,0.9999999994602836,1.0
97,PhySO,Feynman,feynman_III_17_37,97,0.001,beta*(alpha*cos(theta) + 1),4986963,5,5,14.2,8.0,5,5,5,1.0,1.7163375218459505e-08,inf,0.9999999993094727,0.9999999993115243,1.0
98,PhySO,Feynman,feynman_III_19_51,98,0.001,-0.125*m*q**4/(epsilon**2*h**2*n**2),4955150,5,5,18.0,15.0,5,5,5,1.0,1.3246305401650196e-09,inf,0.9999999997232148,0.9999999997375117,1.0
99,PhySO,Feynman,feynman_III_21_20,99,0.001,-A_vec*q*rho_c_0/m,4509254,5,4,8.0,8.0,5,5,5,1.0,2.227664708656982e-16,inf,1.0,1.0,1.0
100,PhySO,Feynman,feynman_test_1,100,0.001,0.062*Z_1**2*Z_2**2*alpha**2*c**2*hbar**2/(E_n**2*sin(theta/2)**4),4955455,5,5,23.2,23.2,0,0,0,0.0,2.6542643953163303,inf,0.9812590639822236,0.9818358589921432,0.0
101,PhySO,Feynman,feynman_test_2,101,0.001,k_G*m*(1.41*(E_n*L**2/(k_G**2*m) + 0.5)**0.5*cos(theta1 - theta2) + 1)/L**2,3316586,5,2,10.2,9.8,0,0,0,0.0,2.851782841487122,inf,0.30635261852911855,0.30447114149726184,0.0
102,PhySO,Feynman,feynman_test_3,102,0.001,d*(1 - alpha**2)/(alpha*cos(theta1 - theta2) + 1),4959160,5,5,13.6,12.2,0,0,0,0.0,0.1599690085207482,inf,0.9538739789561205,0.9537561962301274,0.0
103,PhySO,Feynman,feynman_test_4,103,0.001,1.41*(E_n - 0.5*L**2/(m*r**2) - U)**0.5/m**0.5,4954549,5,5,19.6,18.6,0,0,0,0.0,0.00855833647966208,inf,0.9665460194208375,0.9653424801434131,0.0
104,PhySO,Feynman,feynman_test_5,104,0.001,6.28*d**1.5/(G**0.5*(m1 + m2)**0.5),4954213,5,5,18.2,13.0,5,5,5,1.0,5.026258130167265e-09,inf,0.9999999994967373,0.9999999995031194,1.0
105,PhySO,Feynman,feynman_test_6,105,0.001,1.41*(E_n*L**2*epsilon**2/(Z_1**2*Z_2**2*m*q**4) + 0.5)**0.5,4965568,5,5,5.4,3.6,0,0,0,0.0,inf,inf,0.0,0.0,0.0
106,PhySO,Feynman,feynman_test_7,106,0.001,2.89*(G*rho - 0.119*alpha*c**2/d**2)**0.5,4471185,5,4,15.6,15.6,0,0,0,0.0,0.0017874290552580753,inf,0.9988086414398252,0.9988326488224273,0.0
107,PhySO,Feynman,feynman_test_8,107,0.001,-E_n/(E_n*(cos(theta) - 1)/(c**2*m) - 1),4323082,5,4,20.0,20.0,0,0,0,0.0,0.0014594735713474008,inf,0.9928033958444761,0.9928519141022696,0.0
108,PhySO,Feynman,feynman_test_9,108,0.001,6.4*G**4*m1**2*m2**2*(-m1 - m2)/(c**5*r**5),4953439,5,5,15.8,15.8,0,0,0,0.0,9120059.869479362,inf,0.797142909696773,0.7905406107239833,0.0
110,PhySO,Feynman,feynman_test_11,110,0.001,8*I_0*sin(alpha/2)**2*sin(delta*n/2)**2/(alpha**2*(1 - cos(delta))),4482399,5,4,23.4,22.6,0,0,0,0.0,0.12302817764684629,inf,0.8838221413211074,0.884539766687862,0.0
111,PhySO,Feynman,feynman_test_12,111,0.001,1.0*Volt*d*q/y**2 - 0.08*d*q**2*y/(epsilon*(d**2 - y**2)**2),4957093,5,5,15.6,12.4,0,0,0,0.0,0.00020183056505801452,inf,0.9999990559377189,0.9999990467719013,1.0
112,PhySO,Feynman,feynman_test_13,112,0.001,0.056*q/(epsilon*(0.5*d**2 - d*r*cos(alpha) + 0.5*r**2)**0.5),4951979,5,5,14.6,14.2,0,0,0,0.0,1.3831132999044481e-05,inf,0.9411449300275302,0.9398375660517287,0.0
113,PhySO,Feynman,feynman_test_14,113,0.001,Ef*(d**3*(alpha - 1)/(r**2*(alpha + 2)) - r)*cos(theta),4954044,5,5,13.2,12.6,0,0,0,0.0,74.97552028803773,inf,0.574572764086533,0.5800757590687333,0.0
114,PhySO,Feynman,feynman_test_15,114,0.001,omega*(c**2 - v**2)**0.5/(c + v*cos(theta)),4977633,5,5,13.0,13.2,0,0,0,0.0,0.00674980183839701,inf,0.9957836387494426,0.9956289116006591,0.0
115,PhySO,Feynman,feynman_test_16,115,0.001,Volt*q + c**1.0*(c**2*m**2 + (A_vec*q - p)**2)**0.5,4961340,5,5,17.6,17.6,0,0,0,0.0,13.535707030111775,inf,0.9834391004469647,0.9836865704119944,0.0
116,PhySO,Feynman,feynman_test_17,116,0.001,0.5*(m**2*omega**2*x**2*(alpha*x/y + 1) + p**2)/m,4953171,5,5,12.4,12.2,0,0,0,0.0,322225.0930449306,inf,0.8580713542190617,0.8580875788792692,0.0
117,PhySO,Feynman,feynman_test_18,117,0.001,0.119*(H_G**2 + c**2*k_f/r**2)/G,4953169,5,5,20.2,20.2,0,0,0,0.0,0.048987804726945534,inf,0.9108246031554517,0.9124600531943201,0.0
118,PhySO,Feynman,feynman_test_19,118,0.001,0.04*(H_G**2*c**2*(2*alpha - 1) - c**4*k_f/r**2)/G,2521623,3,0,13.0,11.6,0,0,0,0.0,9.694819698791425,inf,0.9350330134594964,0.9348058830498581,0.0
119,PhySO,Feynman,feynman_test_20,119,0.001,0.08*alpha**2*h**2*omega_0**2*(omega/omega_0 - sin(beta)**2 + omega_0/omega)/(c**2*m**2*omega**2),2158928,3,1,12.8,12.8,0,0,0,0.0,12.037065484278903,inf,0.8863738812226222,0.8914380784162323,0.0
