epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix,best_prog_of_epoch_free_const,overall_best_prog_free_const
0,0.2586441256793677,0.5013332748910879,0.5150294667534894,0.5150294667534894,15.0,16.333,-0.0034001650976422243,755,732,log(((cos(((((t)**(-1))/-(alpha0))-exp(((phi)**(0.5)))))+1)-1)),log(((cos(((((t)**(-1))/-(alpha0))-exp(((phi)**(0.5)))))+1)-1)),[log sub add cos sub div inv t neg alpha0 exp sqrt phi 1 1],[log sub add cos sub div inv t neg alpha0 exp sqrt phi 1 1],[0.23043693 1.         0.98835068],[0.23043693 1.         0.98835068]
1,0.26070928696377027,0.5025709248650719,0.5278245617511012,0.5278245617511012,17.0,16.081,0.04771333325258045,773,748,(((((exp(((sin(phi)+(((log(1)-phi))**(2)))-(t*alpha0))))**(0.5)))**(0.5))*phi),(((((exp(((sin(phi)+(((log(1)-phi))**(2)))-(t*alpha0))))**(0.5)))**(0.5))*phi),[mul sqrt sqrt exp sub add sin phi n2 sub log 1 phi mul t alpha0 phi],[mul sqrt sqrt exp sub add sin phi n2 sub log 1 phi mul t alpha0 phi],[ 6.94004865  1.         -3.94884998],[ 6.94004865  1.         -3.94884998]
2,0.24886443277353298,0.5016335712562959,0.5278245619127158,0.5278245619127158,14.0,16.677,0.008494805534875832,718,693,(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[1.73499205 1.         2.50876132],[1.73499205 1.         2.50876132]
3,0.2566241633859752,0.5027710032320547,0.5278245619127158,0.523146095946419,15.0,16.84,0.04560452813493551,726,702,log(sin(-(((phi/((((f*t))**(2))-(t/t)))+phi)))),(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),[log sin neg add div phi sub n2 mul f t div t t phi],[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[0.1        0.45772031 1.46228143],[1.73499205 1.         2.50876132]
4,0.2573574547851274,0.5031163489661639,0.5295499057623331,0.5295499057623331,17.0,16.855,0.07093579893774776,722,697,(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[0.10771165 1.         0.11395846],[0.10771165 1.         0.11395846]
5,0.24462910271157465,0.5021434475252561,0.5295499057623331,0.5195683792868145,20.0,17.297,0.025821380462330887,704,674,cos((exp(((((-(log((((alpha0*(phi*t)))**(2))))-phi)/f)/t)/1))+1)),(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),[cos add exp div div div sub neg log n2 mul alpha0 mul phi t phi f t 1 1],[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[0.91937748 0.30181966 0.27322209],[0.10771165 1.         0.11395846]
6,0.25275105576915774,0.5061331243149604,0.6074748029877313,0.6074748029877313,18.0,17.342,0.16119873987180494,728,695,(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[-0.07421104  0.82578896 -4.40550963],[-0.07421104  0.82578896 -4.40550963]
7,0.25204202242193136,0.5022681115861662,0.6074748029877313,0.5247341845697913,16.0,17.47,0.02667726166914932,725,697,(log(cos(((exp(((((alpha0*t))**(-1))-(t*(f+f)))))**(0.5))))/1),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[div log cos sqrt exp sub inv mul alpha0 t mul t add f f 1],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.09835378 0.4499068  1.        ],[-0.07421104  0.82578896 -4.40550963]
8,0.24414811379355733,0.5055843910032728,0.6074748029877313,0.5305834603874081,17.0,17.768,0.1478839781231347,691,665,(sin((((((log(((exp((((t*alpha0))**(-1))))**(-1)))/t)*t)-phi))**(2)))-phi),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[sub sin n2 sub mul div log inv exp inv mul t alpha0 t t phi phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.36151124 1.         0.86891211],[-0.07421104  0.82578896 -4.40550963]
9,0.2341960189042592,0.50286597128715,0.6074748029877313,0.5287304991811296,18.0,17.614,0.04843915190782885,683,656,log((sin(exp(((((((t*f))**(-1)))**(2))+(((phi*t)/t)+phi))))*phi)),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[log mul sin exp add n2 inv mul t f add div mul phi t t phi phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.1        0.75633186 1.01415528],[-0.07421104  0.82578896 -4.40550963]
10,0.23436583598695424,0.508357491425458,0.6160380278663733,0.6160380278663733,15.0,18.08,0.23140536764641503,665,648,((1*(sin((-(t)*alpha0))/(alpha0*t)))-(t*f)),((1*(sin((-(t)*alpha0))/(alpha0*t)))-(t*f)),[sub mul 1 div sin mul neg t alpha0 mul alpha0 t mul t f],[sub mul 1 div sin mul neg t alpha0 mul alpha0 t mul t f],[ 7.23584902e-01 -1.11756615e-04  1.00000000e+00],[ 7.23584902e-01 -1.11756615e-04  1.00000000e+00]
11,0.23792848568543706,0.5086977510371885,0.6160380278663733,0.5917209690438465,19.0,18.245,0.250280132066377,695,670,(((f/alpha0)-cos(((-(exp((((log(((1)**(-1)))-phi))**(0.5))))*f)*t)))*phi),((1*(sin((-(t)*alpha0))/(alpha0*t)))-(t*f)),[mul sub div f alpha0 cos mul mul neg exp sqrt sub log inv 1 phi f t phi],[sub mul 1 div sin mul neg t alpha0 mul alpha0 t mul t f],[34.22137996  0.53680023 -0.21155394],[ 7.23584902e-01 -1.11756615e-04  1.00000000e+00]
12,0.21997176627309398,0.508000223236868,0.6160380278663733,0.5344447551358658,22.0,18.465,0.21770572238168845,653,626,((((exp((((phi*sin((log(((t*t)*(t*(f/-((t*t))))))*1))))**(0.5))))**(0.5)))**(-1)),((1*(sin((-(t)*alpha0))/(alpha0*t)))-(t*f)),"[inv sqrt exp sqrt mul phi sin mul log mul mul t t mul t div f neg mul t t
 1]",[sub mul 1 div sin mul neg t alpha0 mul alpha0 t mul t f],[ 1.00000000e-01 -3.65435113e+00  1.19620426e+02],[ 7.23584902e-01 -1.11756615e-04  1.00000000e+00]
13,0.23792200378524472,0.5088645097857133,0.6160380278663733,0.5462268184474671,19.0,18.183,0.21829704434065914,699,671,(((cos((((((f*(exp(((t*alpha0)*1))*t))*1))**(-1))-phi)))**(0.5))+phi),((1*(sin((-(t)*alpha0))/(alpha0*t)))-(t*f)),[add sqrt cos sub inv mul mul f mul exp mul mul t alpha0 1 t 1 phi phi],[sub mul 1 div sin mul neg t alpha0 mul alpha0 t mul t f],[ 0.27238818 -0.04237663 -0.83953124],[ 7.23584902e-01 -1.11756615e-04  1.00000000e+00]
14,0.2400737838210761,0.5141777045539218,0.6200568807727598,0.6200568807727598,19.0,18.438,0.40393239694567057,693,680,-(((f*cos((((1*(log((exp(phi)*1))*alpha0))*t)+phi)))/alpha0)),-(((f*cos((((1*(log((exp(phi)*1))*alpha0))*t)+phi)))/alpha0)),[neg div mul f cos add mul mul 1 mul log mul exp phi 1 alpha0 t phi alpha0],[neg div mul f cos add mul mul 1 mul log mul exp phi 1 alpha0 t phi alpha0],[0.204617   0.048169   3.89890481],[0.204617   0.048169   3.89890481]
15,0.23659934464721058,0.5168642333359208,0.751316792310541,0.751316792310541,10.0,18.411,0.3849014478667625,697,674,(sin((-(t)*f))*exp((t*alpha0))),(sin((-(t)*f))*exp((t*alpha0))),[mul sin mul neg t f exp mul t alpha0],[mul sin mul neg t f exp mul t alpha0],[-0.10645271  0.72619745  1.        ],[-0.10645271  0.72619745  1.        ]
16,0.23531098803093853,0.5177793898971216,0.855569505762879,0.855569505762879,15.0,18.068,0.4661573129373506,712,686,(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[ 0.32906649  0.21439849 -1.28915331],[ 0.32906649  0.21439849 -1.28915331]
17,0.24013928203492982,0.5128902949207464,0.855569505762879,0.5589696920744035,18.0,17.942,0.3160858268247657,711,696,(cos(log(((exp((((t*f)+(t*alpha0))+1))+1)*phi)))*phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul cos log mul add exp add add mul t f mul t alpha0 1 1 phi phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.01427323  0.88572677  0.25744077],[ 0.32906649  0.21439849 -1.28915331]
18,0.2611106933533678,0.516591666799904,0.855569505762879,0.6569857851087338,13.0,17.536,0.43428783992574327,754,736,(-(exp(((t-((alpha0)**(-1)))*alpha0)))*sin((f*t))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul neg exp mul sub t inv alpha0 alpha0 sin mul f t],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.03902127  0.74008293  1.        ],[ 0.32906649  0.21439849 -1.28915331]
19,0.27099168270773144,0.5167987392352608,0.855569505762879,0.6189866621540938,16.0,16.982,0.4037704464175242,775,758,(sin(log(((exp((-(f)*t))*(exp(phi)*alpha0))*t)))*phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul sin log mul mul exp mul neg f t mul exp phi alpha0 t phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.41661172 0.92414452 0.56050076],[ 0.32906649  0.21439849 -1.28915331]
20,0.2622423909799517,0.517274377858911,0.855569505762879,0.5999284609613724,15.0,17.357,0.4295530398872256,754,730,((-(sin((alpha0*t)))/sin((exp((t*alpha0))-1)))*phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul div neg sin mul alpha0 t sin sub exp mul t alpha0 1 phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.74499514  1.          0.18290669],[ 0.32906649  0.21439849 -1.28915331]
21,0.2648684455330855,0.5170320898579635,0.855569505762879,0.5723721748199441,16.0,17.317,0.3814515450669003,762,736,(phi-((exp(sin((t*alpha0)))*cos(exp(-((t*f)))))*phi)),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[sub phi mul mul exp sin mul t alpha0 cos exp neg mul t f phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.75246151 1.00008866 0.15954746],[ 0.32906649  0.21439849 -1.28915331]
22,0.2550513972776327,0.5218931069536473,0.855569505762879,0.6380919501568371,17.0,17.316,0.5030987738300079,745,728,(sin(-((exp(-((((((f*t))**(2)))**(-1))))*(alpha0*t))))/(t*alpha0)),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[div sin neg mul exp neg inv n2 mul f t mul alpha0 t mul t alpha0],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.75369376 0.52184235 1.        ],[ 0.32906649  0.21439849 -1.28915331]
23,0.25605126514135645,0.5194515546948097,0.855569505762879,0.5948693023852191,17.0,17.023,0.37546321420550083,754,726,((t*(cos((f*t))*((-(phi)-(t*alpha0))*f)))-phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[sub mul t mul cos mul f t mul sub neg phi mul t alpha0 f phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[ 0.00187317  0.86437274 -0.0499077 ],[ 0.32906649  0.21439849 -1.28915331]
24,0.2651042548543578,0.5230194050150405,0.855569505762879,0.613833432287567,17.0,17.035,0.53744959745955,760,744,(cos((-(((t-((-(t)-((f)**(-1)))+t))*f))*phi))/phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[div cos mul neg mul sub t add sub neg t inv f t f phi phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[ 0.1        -0.1482684   5.29755939],[ 0.32906649  0.21439849 -1.28915331]
25,0.25516554194834085,0.5177849237574442,0.855569505762879,0.5633056109998746,13.0,16.893,0.3963956447556236,766,739,(sin((alpha0*t))*-((exp(-((alpha0*t)))*phi))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul sin mul alpha0 t neg mul exp neg mul alpha0 t phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[ 0.68604727  1.         12.50639801],[ 0.32906649  0.21439849 -1.28915331]
26,0.266343761624967,0.5192700195081463,0.855569505762879,0.6081074592347377,18.0,16.745,0.31973921459831756,784,755,(-((-(exp((sin(-(((f*(t*phi))-phi)))-phi)))*phi))-phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[sub neg mul neg exp sub sin neg sub mul f mul t phi phi phi phi phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.1        3.06116236 0.24746346],[ 0.32906649  0.21439849 -1.28915331]
27,0.2647824636584187,0.5170082135662754,0.855569505762879,0.5321772120016987,15.0,16.719,0.21804931204220573,778,756,sin(log((((((exp((t*alpha0)))**(-1))*(f*t))*t)/t))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[sin log div mul mul inv exp mul t alpha0 mul f t t t],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.98198717 0.95637181 1.        ],[ 0.32906649  0.21439849 -1.28915331]
28,0.27252625408512654,0.5288719265660728,0.855569505762879,0.7513167922872083,12.0,16.571,0.5126451561530324,795,774,-((sin((alpha0*-(t)))*exp(-((t*f))))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[neg mul sin mul alpha0 neg t exp neg mul t f],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.72619745  0.10645218  1.        ],[ 0.32906649  0.21439849 -1.28915331]
29,0.2731669482488595,0.5170127155470312,0.855569505762879,0.5457132781664478,14.0,16.548,0.22667991023569045,783,767,(f*-((sin((alpha0*t))/(alpha0*-((t*alpha0)))))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul f neg div sin mul alpha0 t mul alpha0 neg mul t alpha0],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[1.12540153 1.89209663 1.        ],[ 0.32906649  0.21439849 -1.28915331]
30,0.2725389772590928,0.5238082608535847,0.855569505762879,0.6210075186944854,12.0,16.445,0.36921601628220946,772,755,-((cos(((((alpha0)**(-1))--(t))*-(f)))*phi)),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[neg mul cos mul sub inv alpha0 neg t neg f phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.19974102 0.79575894 0.23090476],[ 0.32906649  0.21439849 -1.28915331]
31,0.282312098438167,0.523519163781034,0.855569505762879,0.5917209693553326,18.0,16.111,0.4472925020644153,796,770,(((((alpha0)**(-1))*f)*cos(-(((((t-t)-t)-t)*f))))-phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[sub mul mul inv alpha0 f cos neg mul sub sub sub t t t t f phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[2.00963305 0.4251435  0.0033111 ],[ 0.32906649  0.21439849 -1.28915331]
32,0.28561088118479017,0.5215877811998705,0.855569505762879,0.5420280852175836,16.0,16.117,0.335921695554203,788,768,((-(((exp(sin((-((t*-(f)))--(phi))))*alpha0)*t)))**(-1)),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[inv neg mul mul exp sin sub neg mul t neg f neg phi alpha0 t],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[1.39905927 0.78484098 2.60234205],[ 0.32906649  0.21439849 -1.28915331]
33,0.2791265162536887,0.5209487355104294,0.855569505762879,0.53031306497377,19.0,16.488,0.29823216434537075,771,761,(((phi+(sin(((exp(-((alpha0*t)))*-(phi))-phi))*phi))*f)/alpha0),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),"[div mul add phi mul sin sub mul exp neg mul alpha0 t neg phi phi phi f
 alpha0]",[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[  0.64358401 -24.58628434   1.54565764],[ 0.32906649  0.21439849 -1.28915331]
34,0.29863894686369186,0.5188230688951843,0.855569505762879,0.5332301171016907,19.0,16.233,0.24809855691763466,795,779,cos((((exp((alpha0*(t*(-(((t*f)*(t*alpha0)))-phi))))+phi))**(0.5))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),"[cos sqrt add exp mul alpha0 mul t sub neg mul mul t f mul t alpha0 phi
 phi]",[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.41569093  0.34654084  2.40395171],[ 0.32906649  0.21439849 -1.28915331]
35,0.2886132827227383,0.5204800996191623,0.855569505762879,0.5479300873968455,20.0,16.342,0.2994335717278118,790,774,(exp(((((cos((alpha0*(t*(-(phi)-phi))))-phi)*alpha0)-f)*t))*phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),"[mul exp mul sub mul sub cos mul alpha0 mul t sub neg phi phi phi alpha0 f
 t phi]",[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.5276318  0.15593187 0.82477813],[ 0.32906649  0.21439849 -1.28915331]
36,0.2978294247838289,0.5309178641094574,0.855569505762879,0.6759265443558162,10.0,16.647,0.25422918930982474,781,767,(cos((-(t)*f))*exp((t*alpha0))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul cos mul neg t f exp mul t alpha0],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[-0.12379661  0.88686814  1.        ],[ 0.32906649  0.21439849 -1.28915331]
37,0.3015245783294373,0.533008330576573,0.855569505762879,0.6369814557754424,16.0,16.626,0.4548654516576114,793,771,(((exp(-((-(t)*((alpha0*alpha0)*t)))))**(-1))*cos((f*t))),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul inv exp neg mul neg t mul mul alpha0 alpha0 t cos mul f t],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[0.11721324 0.92772824 1.        ],[ 0.32906649  0.21439849 -1.28915331]
38,0.3042827571749308,0.5281680278005083,0.855569505762879,0.5988569983078766,15.0,16.342,0.3635073266681634,786,771,(sin(((-(t)*-(alpha0))--(exp(-((t*f))))))*phi),(sin(((t-((f)**(-1)))*(exp(-(phi))*f)))/(t*alpha0)),[mul sin sub mul neg t neg alpha0 neg exp neg mul t f phi],[div sin mul sub t inv f mul exp neg phi f mul t alpha0],[ 0.74522133  4.21811282 -0.21694346],[ 0.32906649  0.21439849 -1.28915331]
