territory;exports_from_usa;imports_to_usa;trade_imbalance;trade_imbalance_div_exports
China;147.8;426.9;-279.1;-1.89
Mexico;322.7;475.2;-152.5;-0.473
Vietnam;9.8;114.4;-104.6;-10.7
Germany;76.7;159.3;-82.6;-1.08
Japan;75.7;147.2;-71.5;-0.944
Ireland;16.8;82.3;-65.5;-3.90
Canada;354.4;418.6;-64.2;-0.181
South Korea;65.1;116.2;-51.1;-0.785
Taiwan;40.0;87.8;-47.8;-1.195
Italy;28.9;72.9;-44.0;-1.52
India;40.4;83.7;-43.3;-1.07
Thailand;15.6;56.3;-40.7;-2.61
Malaysia;19.4;46.2;-26.8;-1.38
Switzerland;27.8;52.3;-24.5;-0.881
Indonesia;9.8;26.8;-17.0;-1.73
France;43.9;57.6;-13.7;-0.312
Austria;5.5;19.1;-13.6;-2.47
Sweden;8.6;18.4;-9.8;-1.14
Hungary;3.1;10.9;-7.8;-2.52
South Africa;7.1;14.0;-6.9;-0.972
Israel;14.0;20.8;-6.8;-0.486
Finland;3.0;7.3;-4.3;-1.43
Russia;0.6;4.6;-4.0;-6.67
Philippines;9.3;13.3;-4.0;-0.430
Nigeria;2.6;5.7;-3.1;-1.19
Czech Republic;4.6;7.5;-2.9;-0.630
Poland;11.0;13.2;-2.2;-0.2
Saudi Arabia;13.8;15.9;-2.1;-0.152
Algeria;1.2;3.0;-1.8;-1.5
Norway;5.0;6.1;-1.1;-0.22
Venezuela;2.5;3.6;-1.1;-0.44
Singapore;42.4;40.9;1.5;0.035
Colombia;17.7;16.1;1.6;0.090
Spain;25.2;23.1;2.1;0.083
Egypt;4.5;2.4;2.1;0.467
Chile;18.8;15.6;3.2;0.170
Argentina;11.4;6.4;5.0;0.439
Brazil;44.6;39.1;5.5;0.123
United Kingdom;74.3;64.2;10.1;0.136
Belgium;38.8;22.8;16.0;0.412
Australia;33.6;15.9;17.7;0.527
Hong Kong;27.8;4.1;23.7;0.853
Netherlands;81.3;38.5;42.8;0.526